External_ID,IRCACH_example,PDF_page,AYA_ID,system_type,system_name,sampling_point,sampling_date,ph,Hardness,Sulfate,Conductivity,IRCACH_score,IRCACH_risk_level,IRCACH_quality,Potability,ph_Outside_IQR,ph_Robust_Z,Hardness_Outside_IQR,Hardness_Robust_Z,Sulfate_Outside_IQR,Sulfate_Robust_Z,Conductivity_Outside_IQR,Conductivity_Robust_Z,N_Features_Outside_IQR,Maximum_Absolute_Robust_Z,Multivariate_Anomaly
CR_IRCACH_003,3,38,AYA-ID-06812-2016,No clorado,SAN LUIS Y CAIMITOS DE FLORENCIA DE SAN CARLOS,RED 2,2016-07-12,7.08,56.0,2.13,103.0,27,Riesgo alto,No apta para ingesta,0,False,0.03599920754237954,True,-4.7923089967447146,True,-8.659482952720563,True,-3.734028962484287,3,8.659482952720563,True
CR_IRCACH_004,4,39,AYA-ID-08736-2016,Clorado,CH-A-38-PAPAGAYO SUR: HERMOSA - CACIQUE,PANAMÁ,2016-09-05,7.47,6367.0,297.33,11090.0,44,Riesgo muy alto,No apta para ingesta,0,False,0.30239113451551625,True,209.41456162164005,False,-0.9155795731117915,True,124.2891264346777,2,209.41456162164005,True
CR_IRCACH_005,5,40,AYA-ID-09104-2016,Clorado,LA ISLA DE CIUDAD QUESADA,RED 3,2016-09-13,6.83,46.0,2.02,126.0,6,Riesgo bajo,Apta para ingesta,1,False,-0.13476484820963133,True,-5.131727267412414,True,-8.662368553573398,True,-3.466027453961967,3,8.662368553573398,True
CR_IRCACH_009,9,44,AYA-ID-07500-2016,Clorado,SANTA CECILIA DE SAN MARCOS DE TARRAZÚ,RED 3,2016-08-03,4.65,10.0,17.29,115.0,43,Riesgo muy alto,No apta para ingesta,0,False,-1.6238274143671658,True,-6.35363304181613,True,-8.261794689729813,True,-3.5942020884726418,3,8.261794689729813,True
CR_IRCACH_010,10,45,AYA-ID-06567-2016,No clorado,CALLE EL ALTO DE ESCAZÚ (No clorado),RED 2,2016-06-29,7.72,22.0,22.1,76.0,27,Riesgo alto,No apta para ingesta,0,False,0.4731551902675271,True,-5.946331117014891,True,-8.135615234255834,True,-4.048639429010488,3,8.135615234255834,True
CR_IRCACH_011,11,46,AYA-ID-05086-2016,No clorado,CALLE HIGUERONES DE ESCAZÚ (No clorado),SECTOR CALLE A LA NACIENTE,2016-05-27,7.85,46.0,7.24,100.0,35,Riesgo muy alto,No apta para ingesta,0,False,0.5619524992585727,True,-5.131727267412414,True,-8.525433676738851,True,-3.7689856809871984,3,8.525433676738851,True
CR_IRCACH_012,12,47,AYA-ID-08915-2016,No clorado,ME-A-25.4-CALLE EL ALTO DE ESCAZÚ (NO CLORADO),RED 1,2016-09-09,7.44,34.0,23.4,112.0,6,Riesgo bajo,Apta para ingesta,1,False,0.2818994478252754,True,-5.539029192213652,True,-8.10151267872233,True,-3.6291588069755534,3,8.10151267872233,True
CR_IRCACH_014,14,49,AYA-ID-09089-2016,Clorado,CIUDAD QUESADA DE SAN CARLOS,LA MARGARITA,2016-09-12,6.89,50.0,2.31,114.0,6,Riesgo bajo,Apta para ingesta,1,False,-0.09378147482914899,True,-4.995959959145334,True,-8.654761060415922,True,-3.605854327973612,3,8.654761060415922,True
CR_IRCACH_016,16,51,AYA-ID-08935-2016,No clorado,NARANJAL DE BELÉN DE NOSARITA DE NICOYA,Red 1,2016-09-08,6.99,89.0,2.34,171.0,6,Riesgo bajo,Apta para ingesta,1,False,-0.025475852528344275,True,-3.6722287035413084,True,-8.653974078365149,True,-2.9416766764182984,3,8.653974078365149,True
CR_IRCACH_017,17,52,AYA-ID-07493-2016,Clorado,SANTA CECILIA DE SAN MARCOS DE TARRAZÚ,RED 2,2016-08-03,4.46,6.0,17.99,101.0,43,Riesgo muy alto,No apta para ingesta,0,False,-1.7536080967386942,True,-6.48940035008321,True,-8.24343177521177,True,-3.757333441486228,3,8.24343177521177,True
