position,source_index,Potability,validation_fold
0,284,1,2
1,3028,0,2
2,2720,1,1
3,875,0,4
4,1341,0,1
5,1102,1,2
6,2696,0,0
7,1770,0,2
8,3165,1,3
9,2407,1,0
10,3034,0,1
11,3037,0,2
12,1735,0,0
13,1980,1,0
14,456,0,3
15,300,1,3
16,2630,0,1
17,2495,0,1
18,2851,1,1
19,2665,0,2
20,984,0,1
21,2731,1,3
22,1410,0,0
23,2251,0,2
24,1137,1,3
25,3198,1,1
26,1922,1,4
27,802,1,1
28,715,1,1
29,602,0,4
30,2701,0,3
31,1478,0,3
32,1485,1,2
33,206,0,0
34,3253,1,3
35,2296,0,4
36,1288,0,2
37,1849,0,4
38,3138,1,1
39,751,1,0
40,1953,1,0
41,2810,1,4
42,3094,0,0
43,3275,1,3
44,2605,0,2
45,491,0,1
46,1084,1,2
47,54,0,2
48,130,0,0
49,3087,0,3
50,1736,0,4
51,3238,1,0
52,1321,0,1
53,3125,1,0
54,2109,0,0
55,1942,1,2
56,1588,1,4
57,2594,0,3
58,1554,1,4
59,2097,0,3
60,1805,0,1
61,1979,1,4
62,2787,1,0
63,2631,0,3
64,1775,0,4
65,271,1,1
66,1152,1,3
67,2856,1,2
68,1029,0,0
69,7,0,4
70,155,0,3
71,1969,1,4
72,2426,1,3
73,336,1,1
74,1579,1,2
75,395,1,0
76,3056,0,4
77,304,1,4
78,2717,1,2
79,355,1,4
